price,postal_code,longitude,latitude,region,province,municipality,crime_rate,population_km,prosperity_index,type_of_property,subtype_of_property,state_of_the_building,number_of_rooms,living_area,fully_equipped_kitchen,furnished,open_fire,number_of_facades,swimming_pool,crimes,ext_area
354500,8600,51.0547539517997,2.8727490452451248,région flamande,flandre occidentale (la),diksmuide,11.667053633619688,114.291383174712,97.0,apartment,apartment,good,2,110.0,0,0.0,0,3.0,0.0,201.0,0.0
235000,9051,51.020835067310294,3.6770404444377904,région flamande,flandre orientale (la),gent,45.408517157090024,1708.80636822936,103.0,apartment,apartment,good,1,57.0,1,0.0,0,2.0,0.0,12242.0,10.0
157000,2170,51.25156639821808,4.44450162313264,région flamande,antwerpen,antwerpen,38.33988974941212,2666.2549387733,87.0,apartment,apartment,good,1,55.0,0,0.0,0,2.0,0.0,20886.0,2.0
259500,2300,51.3289645417869,4.940164879461028,région flamande,antwerpen,turnhout,26.297431561145757,834.13599416103,93.0,apartment,apartment,excellent,3,125.0,0,0.0,0,2.0,0.0,1244.0,0.0
239000,8420,51.29866846302454,3.0922383231618036,région flamande,flandre occidentale (la),de haan,17.534203491114955,275.627745549689,117.0,apartment,apartment,good,2,71.0,0,0.0,0,2.0,0.0,223.0,0.0
299000,2860,51.064188891317116,4.514746404462987,région flamande,antwerpen,sint-katelijne-waver,12.022760646108663,602.732409047757,116.0,house,house,good,3,153.0,0,0.0,0,3.0,0.0,262.0,0.0
79000,8434,51.15486680637328,2.7761610348929397,région flamande,flandre occidentale (la),middelkerke,19.944598337950136,251.206331264948,107.0,apartment,flat_studio,renovation,0,26.0,0,1.0,0,2.0,0.0,396.0,3.0
265000,2270,51.13916219772636,4.759935300337723,région flamande,antwerpen,herenthout,8.038925322614768,400.458523738922,105.0,apartment,apartment,excellent,1,82.0,0,0.0,0,3.0,0.0,76.0,13.0
360000,2100,51.215898155997046,4.46823712928013,région flamande,antwerpen,antwerpen,38.33988974941212,2666.2549387733,87.0,apartment,apartment,good,2,115.0,0,0.0,0,2.0,0.0,20886.0,7.0
340000,8020,51.115614510612126,3.20946687009095,région flamande,flandre occidentale (la),oostkamp,9.227600411946446,302.959055698277,112.0,house,house,good,5,220.0,0,0.0,0,4.0,0.0,224.0,0.0
345000,6720,49.74650799227212,5.659611775346301,région wallonne,luxembourg,habay,13.642095609308726,84.2678697731702,111.0,apartment,apartment,excellent,2,82.0,0,0.0,0,2.0,0.0,119.0,8.0
169000,8510,50.773491427377515,3.2969354667112425,région flamande,flandre occidentale (la),kortrijk,31.262495001999202,991.805423321235,103.0,apartment,apartment,good,1,103.0,0,0.0,0,2.0,0.0,2502.0,0.0
265000,9400,50.85407606035612,3.9665052522195245,région flamande,flandre orientale (la),ninove,14.96419988603424,552.019453273303,104.0,apartment,duplex,good,3,128.0,0,0.0,0,2.0,0.0,604.0,12.0
679000,2230,51.052403764130105,4.899473338402746,région flamande,antwerpen,herselt,9.704811969268095,283.319882735585,108.0,house,villa,good,4,360.0,0,0.0,1,4.0,0.0,144.0,0.0
225000,8870,50.91131070183646,3.2046318970732175,région flamande,flandre occidentale (la),izegem,19.57094467444486,1140.12097289335,100.0,apartment,apartment,good,2,85.0,1,0.0,0,2.0,0.0,572.0,0.0
215000,2570,51.095719546804055,4.514141623555746,région flamande,antwerpen,duffel,15.059240394197763,799.267905645499,114.0,apartment,apartment,good,1,90.0,0,0.0,0,2.0,0.0,272.0,251.0
185000,2400,51.241515872832345,5.1221318711285955,région flamande,antwerpen,dessel,2.698915243680905,336.407996847784,107.0,apartment,apartment,renovation,1,63.0,0,0.0,0,2.0,0.0,104.0,0.0
465000,9420,50.916766900692416,3.965005574250437,région flamande,flandre orientale (la),erpe-mere,11.27873221339171,610.635283002413,115.0,house,house,good,3,171.0,0,0.0,0,4.0,0.0,237.0,0.0
459000,8620,51.108205475195454,2.7795516374437015,région flamande,flandre occidentale (la),nieuwpoort,32.21300742034047,344.161951227309,110.0,house,house,good,4,200.0,0,0.0,0,2.0,0.0,369.0,40.0
349000,9450,50.8756806472586,4.0096342861603995,région flamande,flandre orientale (la),haaltert,11.184413977940418,635.734490906166,113.0,house,house,excellent,3,163.0,0,0.0,0,2.0,0.0,217.0,0.0
425000,2260,51.118648677888004,4.893322739960348,région flamande,antwerpen,westerlo,10.731707317073171,462.139953074715,109.0,house,house,good,3,217.0,0,0.0,0,4.0,0.0,275.0,0.0
259000,8400,51.204054302137884,2.920364240174513,région flamande,flandre occidentale (la),oostende,32.0998539663296,1772.3684232052299,99.0,house,house,good,3,110.0,0,0.0,0,2.0,0.0,2330.0,20.0
398000,9270,51.03888355150804,3.8572563876425936,région flamande,flandre orientale (la),laarne,13.166294286626236,384.645652712243,120.0,house,apartment_block,renovation,4,259.0,0,0.0,0,2.0,0.0,165.0,0.0
499000,9450,50.8756806472586,4.0096342861603995,région flamande,flandre orientale (la),haaltert,11.184413977940418,635.734490906166,113.0,house,house,excellent,3,199.0,0,0.0,0,4.0,0.0,217.0,0.0
199000,2100,51.215898155997046,4.46823712928013,région flamande,antwerpen,antwerpen,38.33988974941212,2666.2549387733,87.0,apartment,apartment,good,2,75.0,0,0.0,0,2.0,0.0,20886.0,2.0
239000,9000,51.053260703972086,3.720262345300755,région flamande,flandre orientale (la),gent,45.408517157090024,1708.80636822936,103.0,house,house,renovation,2,180.0,0,0.0,0,2.0,0.0,12242.0,0.0
185000,9420,50.916766900692416,3.965005574250437,région flamande,flandre orientale (la),erpe-mere,11.27873221339171,610.635283002413,115.0,house,house,renovation,2,95.0,0,0.0,0,3.0,0.0,237.0,20.0
350000,2940,51.337978875586835,4.36993960452919,région flamande,antwerpen,stabroek,10.570487623499416,878.810057758444,117.0,house,house,renovation,3,176.0,0,0.0,0,2.0,0.0,199.0,301.0
490000,4120,50.53217303794813,5.482227353192982,région wallonne,liège,neupré,12.787212787212788,315.338866895149,129.0,house,house,excellent,3,155.0,0,0.0,0,4.0,0.0,128.0,23.0
230000,2280,51.18510499166731,4.739906950288028,région flamande,antwerpen,grobbendonk,9.735504436977685,409.14914884146,114.0,apartment,apartment,good,1,66.0,0,0.0,0,2.0,0.0,113.0,11.0
449000,9200,51.03696478515703,4.084093700934431,région flamande,flandre orientale (la),dendermonde,18.014199427784256,834.791572173574,107.0,house,house,good,3,160.0,0,0.0,0,2.0,0.0,850.0,0.0
319950,8840,50.96684101290582,3.0048781500757906,région flamande,flandre occidentale (la),staden,8.478205018412265,249.427589634903,95.0,apartment,apartment,good,3,111.0,0,0.0,0,4.0,0.0,99.0,0.0
349000,1840,51.014505411782686,4.296428516201441,région flamande,brabant flamand (le),londerzeel,14.739229024943311,531.220060866912,118.0,apartment,duplex,excellent,3,118.0,0,0.0,0,2.0,0.0,286.0,0.0
339000,2570,51.095719546804055,4.514141623555746,région flamande,antwerpen,duffel,15.059240394197763,799.267905645499,114.0,apartment,apartment,excellent,2,106.0,1,0.0,0,2.0,0.0,272.0,110.0
230000,4870,50.58736496113965,5.731972613312919,région wallonne,liège,olne,5.460412012906428,332.17414532557,101.0,house,house,good,2,147.0,0,0.0,0,2.0,0.0,44.0,0.0
99000,4101,50.61819164237959,5.497986977613582,région wallonne,liège,seraing,37.002458531727505,1823.3599286567098,77.0,apartment,apartment,excellent,1,80.0,0,0.0,0,2.0,0.0,2378.0,0.0
225000,7331,50.48388325647103,3.841110674109011,région wallonne,hainaut (le),saint-ghislain,19.28989596933833,336.373716511774,95.0,house,house,good,2,123.0,0,0.0,0,2.0,0.0,458.0,0.0
775000,8551,50.793846078186775,3.3992783979228665,région flamande,flandre occidentale (la),zwevegem,9.191390343222803,405.363475208663,106.0,house,villa,excellent,5,372.0,0,0.0,0,4.0,0.0,237.0,0.0
549000,2940,51.337978875586835,4.36993960452919,région flamande,antwerpen,stabroek,10.570487623499416,878.810057758444,117.0,house,house,good,4,211.0,0,0.0,0,2.0,0.0,199.0,0.0
210000,4000,50.59185028437595,5.577531125648646,région wallonne,liège,liège,73.12874786748255,2851.82092694799,81.0,apartment,apartment,good,3,120.0,0,0.0,0,4.0,0.0,14317.0,0.0
200000,7170,50.50169979774876,4.2454380952875646,région wallonne,hainaut (le),manage,18.458602953376474,1240.72428901527,82.0,house,house,good,4,174.0,0,0.0,0,2.0,0.0,445.0,147.0
342500,4218,50.52630827143261,5.127824996316248,région wallonne,liège,héron,12.861736334405144,145.743557831437,110.0,house,house,renovation,3,158.0,1,0.0,0,4.0,0.0,72.0,773.0
325000,2100,51.215898155997046,4.46823712928013,région flamande,antwerpen,antwerpen,38.33988974941212,2666.2549387733,87.0,apartment,duplex,excellent,2,93.0,0,0.0,0,2.0,0.0,20886.0,17.0
1050000,1700,50.84856042288083,4.2578958901376485,région flamande,brabant flamand (le),dilbeek,20.09893489014662,1081.97335661705,114.0,house,apartment_block,good,4,300.0,0,0.0,0,2.0,0.0,902.0,26.0
270000,3630,50.97378286902597,5.652242272891972,région flamande,limbourg (le),maasmechelen,17.529028568586984,523.348691999776,87.0,apartment,apartment,good,2,93.0,0,0.0,0,2.0,0.0,705.0,9.0
249000,1081,50.86301498471678,4.324083268779553,région de bruxelles-capitale,région de bruxelles-capitale,koekelberg,31.790886612504412,19161.960361275,67.0,apartment,apartment,good,2,94.0,0,0.0,0,2.0,0.0,720.0,10.0
169000,6850,49.89790501802281,5.128141991092279,région wallonne,luxembourg,paliseul,8.1374321880651,49.706698122287705,90.0,house,house,good,5,220.0,0,0.0,0,3.0,0.0,45.0,8.0
299000,9308,50.9673651621167,4.029669760417315,région flamande,flandre orientale (la),aalst,18.682345183801306,1156.87598097508,105.0,apartment,apartment,excellent,2,80.0,1,0.0,0,2.0,0.0,1700.0,15.0
139000,4101,50.61819164237959,5.497986977613582,région wallonne,liège,seraing,37.002458531727505,1823.3599286567098,77.0,house,house,renovation,2,82.0,0,0.0,0,2.0,0.0,2378.0,0.0
225000,9620,50.86893462600802,3.790568577398006,région flamande,flandre orientale (la),zottegem,18.764465016912943,488.761972623482,116.0,apartment,ground_floor,good,1,87.0,0,0.0,0,2.0,0.0,527.0,0.0
335000,2811,51.02601332098993,4.400356854897055,région flamande,antwerpen,mechelen,25.72973699237513,1357.59915339489,105.0,house,house,renovation,3,158.0,0,0.0,0,2.0,0.0,2298.0,0.0
315000,6791,49.57086993737889,5.844003703149036,région wallonne,luxembourg,aubange,16.419165032221912,386.999447010429,89.0,apartment,apartment,good,2,88.0,0,0.0,0,2.0,0.0,293.0,39.0
159000,4020,50.639959100598105,5.638561209383813,région wallonne,liège,liège,73.12874786748255,2851.82092694799,81.0,apartment,apartment,renovation,2,81.0,0,0.0,0,2.0,0.0,14317.0,6.0
375000,4052,50.561812680638766,5.63741733618252,région wallonne,liège,chaudfontaine,21.21359223300971,809.1961131560989,125.0,house,house,good,5,283.0,0,0.0,0,4.0,0.0,437.0,286.0
259000,8380,51.319188488680844,3.1984127435592233,région flamande,flandre occidentale (la),brugge,29.52389692080521,850.208400321997,110.0,apartment,apartment,good,2,58.0,0,0.0,0,2.0,0.0,3539.0,0.0
109000,4102,50.59505274799415,5.5464915208551835,région wallonne,liège,seraing,37.002458531727505,1823.3599286567098,77.0,house,house,renovation,3,115.0,0,0.0,0,2.0,0.0,2378.0,202.0
595000,9930,51.11772486118317,3.561101157171588,région flamande,flandre orientale (la),lievegem,13.627180899908174,337.02663773127404,113.0,house,house,good,3,187.0,0,0.0,0,4.0,0.0,371.0,0.0
342000,1840,51.014505411782686,4.296428516201441,région flamande,brabant flamand (le),londerzeel,14.739229024943311,531.220060866912,118.0,house,town_house,good,4,140.0,0,0.0,0,3.0,0.0,286.0,47.0
499000,3140,51.00520268020055,4.654303955797991,région flamande,brabant flamand (le),keerbergen,9.023913370431643,717.159405908557,147.0,house,house,good,3,210.0,0,0.0,0,4.0,0.0,120.0,0.0
415000,9111,51.15731459867738,4.089994967950732,région flamande,flandre orientale (la),sint-niklaas,26.031296189975937,972.2665027104879,96.0,house,house,good,5,205.0,1,0.0,1,4.0,0.0,2131.0,620.0
159000,2100,51.215898155997046,4.46823712928013,région flamande,antwerpen,antwerpen,38.33988974941212,2666.2549387733,87.0,apartment,apartment,renovation,2,91.0,0,0.0,0,2.0,0.0,20886.0,3.0
169000,2660,51.17680075275425,4.349449465701912,région flamande,antwerpen,antwerpen,38.33988974941212,2666.2549387733,87.0,apartment,apartment,good,2,79.0,0,0.0,0,2.0,0.0,20886.0,6.0
675000,9140,51.140756480974794,4.216570683439023,région flamande,flandre orientale (la),temse,14.486265229765596,779.8982333937059,106.0,house,house,excellent,4,243.0,0,0.0,0,4.0,0.0,453.0,0.0
198000,2850,51.09355764030045,4.372901183292752,région flamande,antwerpen,boom,30.20945911172868,2632.35648536313,93.0,house,house,good,2,63.0,0,0.0,0,2.0,0.0,587.0,20.0
560000,2650,51.1562541917077,4.432829593906586,région flamande,antwerpen,edegem,18.862184362640708,2639.47586288858,122.0,apartment,apartment,good,2,127.0,0,0.0,0,2.0,0.0,434.0,29.0
99000,4030,50.62614473189009,5.611819695855508,région wallonne,liège,liège,73.12874786748255,2851.82092694799,81.0,apartment,apartment,renovation,1,73.0,0,0.0,0,2.0,0.0,14317.0,0.0
1050000,1301,50.7168861193855,4.581594841842499,région wallonne,brabant wallon (le),wavre,21.823499634400136,844.332715245123,112.0,house,house,excellent,4,227.0,1,0.0,0,4.0,1.0,776.0,730.0
240000,1070,50.828980275263795,4.292904442200332,région de bruxelles-capitale,région de bruxelles-capitale,anderlecht,50.41040914513237,7066.0377358490605,62.0,apartment,apartment,excellent,2,80.0,0,0.0,0,2.0,0.0,6381.0,0.0
489000,4052,50.561812680638766,5.63741733618252,région wallonne,liège,chaudfontaine,21.21359223300971,809.1961131560989,125.0,house,house,good,3,206.0,0,0.0,0,4.0,0.0,437.0,0.0
245000,1410,50.70976366812478,4.403520554166193,région wallonne,brabant wallon (le),waterloo,29.056085762844816,1434.78744291812,127.0,apartment,apartment,excellent,1,69.0,0,0.0,0,2.0,0.0,889.0,10.0
159000,6840,49.8424024694399,5.431672182519433,région wallonne,luxembourg,neufchâteau,14.891041162227603,72.16656945876359,94.0,apartment,apartment,good,1,83.0,0,0.0,0,3.0,0.0,123.0,14.0
309000,1730,50.909272565714325,4.186788555395837,région flamande,brabant flamand (le),asse,19.941266955670535,711.948658934041,104.0,apartment,apartment,excellent,2,90.0,0,0.0,0,1.0,0.0,713.0,18.0
330000,6717,49.75420777419082,5.776093147961596,région wallonne,luxembourg,attert,5.002587545282043,81.5509186872066,137.0,apartment,apartment,excellent,3,125.0,0,0.0,0,2.0,0.0,29.0,0.0
165000,9620,50.86893462600802,3.790568577398006,région flamande,flandre orientale (la),zottegem,18.764465016912943,488.761972623482,116.0,apartment,apartment,good,1,55.0,0,0.0,0,2.0,0.0,527.0,0.0
325000,2830,51.063785840068654,4.360048181748833,région flamande,antwerpen,willebroek,13.947890116114415,1032.23252769767,100.0,apartment,apartment,good,2,85.0,0,0.0,0,3.0,0.0,394.0,16.0
379000,9040,51.06701435001319,3.7694068345287524,région flamande,flandre orientale (la),gent,45.408517157090024,1708.80636822936,103.0,house,house,good,4,141.0,0,0.0,0,2.0,0.0,12242.0,0.0
195000,7760,50.7071975803299,3.456200534307307,région wallonne,hainaut (le),celles,15.728766165676335,84.7880427107096,95.0,apartment,ground_floor,good,2,81.0,0,0.0,0,2.0,0.0,90.0,0.0
189000,9700,50.848018865686875,3.611088262898648,région flamande,flandre orientale (la),oudenaarde,17.27723075041282,474.49818900051304,110.0,apartment,apartment,good,2,90.0,0,0.0,0,2.0,0.0,565.0,4.0
319000,4651,50.63955879367363,5.794266605981542,région wallonne,liège,herve,15.518207282913165,314.040900616523,102.0,house,house,excellent,3,110.0,0,0.0,0,3.0,0.0,277.0,470.0
235000,2430,51.08791988851712,5.0461260886208406,région flamande,antwerpen,laakdal,10.565271891601503,394.844336515036,108.0,apartment,ground_floor,good,2,89.0,0,0.0,0,4.0,0.0,177.0,11.0
