Title: 
 ;2023
Namur;4086
SAMSOM;676
Sombreffe;143
Sambreville;533
POLICE JEMEPPE S/SAMBRE;369
Jemeppe-sur-Sambre;369
HERMETON ET HEURE;293
Cerfontaine;91
Doische;39
Philippeville;163
ZONE DE POLICE DES 3 VALLEES;443
Couvin;346
Viroinval;97
FLOWAL;477
Florennes;206
Walcourt;271
Gebied: Onbekend;1
Provincie: Onbekend;1
Arrondissement: Onbekend;1
Onbekend;1
Onbekend;1

Filters: 2023
URL: https://www.politie.be/statistieken/nl/criminaliteit/criminele-figuren/tabel?view=undefined&year=2023
BRON: Federale Politie - Directie van de politionele informatie en ICT-middelen - business Beleid en Beheer (BIPOL)
