Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Disabled_Access,Lift
245000.0,5300,APARTMENT,APARTMENT,GOOD,2.0,88.0,False,0.0,,,,,,,,4.0,0.0,0.0,1.0
760000.0,1070,HOUSE,APARTMENT_BLOCK,TO_BE_DONE_UP,0.0,,False,,,,,,,,0.0,2.0,,,
269500.0,1200,APARTMENT,PENTHOUSE,TO_BE_DONE_UP,2.0,75.0,False,0.0,,1.0,16.0,,,,,2.0,0.0,1.0,1.0
2100000.0,3040,HOUSE,VILLA,AS_NEW,5.0,623.0,False,,1.0,1.0,1.0,1.0,1.0,1.0,10000.0,4.0,1.0,0.0,0.0
1495000.0,1000,APARTMENT,APARTMENT,AS_NEW,3.0,197.0,True,,,1.0,58.0,,,,,4.0,,1.0,1.0
240000.0,1083,APARTMENT,APARTMENT,GOOD,2.0,,False,,,1.0,5.0,,,,,2.0,,,1.0
499500.0,2400,HOUSE,HOUSE,GOOD,4.0,240.0,False,,,,,,,,910.0,3.0,,0.0,0.0
525000.0,7750,HOUSE,MIXED_USE_BUILDING,GOOD,4.0,201.0,False,0.0,,1.0,,,,,1250.0,4.0,,0.0,
215000.0,4000,APARTMENT,APARTMENT,GOOD,2.0,94.0,False,0.0,,1.0,7.0,,,,,2.0,0.0,0.0,1.0
305000.0,2800,APARTMENT,SERVICE_FLAT,,1.0,83.0,False,,,1.0,7.0,,,,,,,,1.0
245000.0,3500,APARTMENT,APARTMENT,TO_BE_DONE_UP,3.0,130.0,False,,,1.0,9.0,,,,,2.0,,,
299500.0,4190,HOUSE,HOUSE,AS_NEW,3.0,111.0,False,0.0,,1.0,,1.0,532.0,532.0,609.0,4.0,0.0,,
397500.0,6230,HOUSE,VILLA,,4.0,118.0,False,0.0,,1.0,,,,,1372.0,4.0,0.0,0.0,0.0
349000.0,1640,HOUSE,HOUSE,GOOD,4.0,135.0,False,0.0,,1.0,20.0,1.0,760.0,760.0,855.0,3.0,0.0,,0.0
1190000.0,8300,APARTMENT,APARTMENT,JUST_RENOVATED,2.0,86.0,True,1.0,,1.0,,,,,,2.0,,0.0,1.0
3950000.0,8300,APARTMENT,APARTMENT,JUST_RENOVATED,2.0,100.0,False,,,1.0,,,,,,,,,1.0
385000.0,9000,APARTMENT,APARTMENT,GOOD,2.0,94.0,False,0.0,,1.0,,,,,,2.0,0.0,0.0,1.0
439000.0,9550,HOUSE,HOUSE,GOOD,3.0,280.0,True,,,1.0,,,,,2381.0,4.0,0.0,0.0,0.0
680000.0,8700,HOUSE,VILLA,AS_NEW,5.0,445.0,False,,,1.0,43.0,1.0,444.0,444.0,686.0,3.0,,0.0,0.0
229500.0,1000,APARTMENT,APARTMENT,GOOD,1.0,65.0,False,0.0,,,,,,,,2.0,0.0,0.0,1.0
395000.0,5530,HOUSE,HOUSE,,3.0,148.0,False,,,1.0,,,,,675.0,3.0,,,
460000.0,1000,APARTMENT,DUPLEX,AS_NEW,3.0,146.0,True,0.0,,1.0,52.0,,,,,2.0,0.0,0.0,1.0
